Center-X(mm),Center-Y(mm),Comment,Description,Designator,Footprint,Layer,LibRef,Quantity,Rotation,Variant,Revision,Trenz-Stock,Value,AN,Case,Mixed,Preferred,Technology,Tolerance,Trenz-Article-Number,Voltage,Ref-X(mm),Ref-Y(mm)

"44.11","46.03","4.7µF","KON 4.7µF 6.3V X5R SMD 20%","C1","CAPC1005X60N","Top","24719","1","90","","01","","4.7u","24719","1005 (0402)","SMT","Yes","X5R","20%","","6.3","44.11","46.03"
"28.96","29.37","470nF","KON 470nF X5R 6.3V SMD 20%","C2","CAPC0603X33N","Bottom","24921","1","180","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","28.96","29.37"
"28.09","32.38","470nF","KON 470nF X5R 6.3V SMD 20%","C3","CAPC0603X33N","Bottom","24921","1","0","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","28.09","32.38"
"28.09","34.33","4.7µF","KON 4.7µF 6.3V X5R SMD 20%","C4","CAPC1005X60N","Bottom","24719","1","90","","01","","4.7u","24719","1005 (0402)","SMT","Yes","X5R","20%","","6.3","28.09","34.33"
"42.09","49.22","470nF","KON 470nF X5R 6.3V SMD 20%","C5","CAPC0603X33N","Top","24921","1","270","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","42.09","49.22"
"31.19","49.88","470nF","KON 470nF X5R 6.3V SMD 20%","C6","CAPC0603X33N","Top","24921","1","90","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","31.19","49.88"
"40.68","42.18","470nF","KON 470nF X5R 6.3V SMD 20%","C7","CAPC0603X33N","Top","24921","1","0","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","40.68","42.18"
"38.39","53.08","470nF","KON 470nF X5R 6.3V SMD 20%","C8","CAPC0603X33N","Top","24921","1","180","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","38.39","53.08"
"33.64","42.18","470nF","KON 470nF X5R 6.3V SMD 20%","C9","CAPC0603X33N","Top","24921","1","0","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","33.64","42.18"
"30.92","46.83","470nF","KON 470nF X5R 6.3V SMD 20%","C10","CAPC0603X33N","Top","24921","1","180","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","30.92","46.83"
"33.7","53.09","470nF","KON 470nF X5R 6.3V SMD 20%","C11","CAPC0603X33N","Top","24921","1","180","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","33.7","53.09"
"32.52","41.54","4.7µF","KON 4.7µF 6.3V X5R SMD 20%","C12","CAPC1005X60N","Top","24719","1","90","","01","","4.7u","24719","1005 (0402)","SMT","Yes","X5R","20%","","6.3","32.52","41.54"
"50.35","60.54","10µF","KON 10µF 16V X5R SMD 20%","C13","CAPC1608X90N","Top","25341","1","90","","01","","10u","25341","1608 (0603)","SMT","Yes","X5R","20%","","16V","50.35","60.54"
"43.05","42.35","470nF","KON 470nF X5R 6.3V SMD 20%","C14","CAPC0603X33N","Top","24921","1","270","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","43.05","42.35"
"29.19","31.34","4.7µF","KON 4.7µF 6.3V X5R SMD 20%","C15","CAPC1005X60N","Bottom","24719","1","180","","01","","4.7u","24719","1005 (0402)","SMT","Yes","X5R","20%","","6.3","29.19","31.34"
"20.98","40.36","47µF","KON 47µF 6,3V  X5R SMD 20%","C16","CAPC2012X135N","Top","24718","1","90","","01","","47u","24718","2012 (0805)","SMT","Yes","X5R","20%","","6.3V","20.98","40.36"
"42.09","45.41","470nF","KON 470nF X5R 6.3V SMD 20%","C17","CAPC0603X33N","Top","24921","1","90","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","42.09","45.41"
"31.44","28.88","4.7µF","KON 4.7µF 6.3V X5R SMD 20%","C18","CAPC1005X60N","Bottom","24719","1","0","","01","","4.7u","24719","1005 (0402)","SMT","Yes","X5R","20%","","6.3","31.44","28.88"
"43.22","48.17","4.7µF","KON 4.7µF 6.3V X5R SMD 20%","C19","CAPC1005X60N","Top","24719","1","90","","01","","4.7u","24719","1005 (0402)","SMT","Yes","X5R","20%","","6.3","43.22","48.17"
"42.09","47.98","470nF","KON 470nF X5R 6.3V SMD 20%","C20","CAPC0603X33N","Top","24921","1","90","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","42.09","47.98"
"30.134","27.727","470nF","KON 470nF X5R 6.3V SMD 20%","C21","CAPC0603X33N","Bottom","24921","1","180","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","30.134","27.727"
"28.09","28.48","470nF","KON 470nF X5R 6.3V SMD 20%","C22","CAPC0603X33N","Bottom","24921","1","180","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","28.09","28.48"
"28.09","33.13","470nF","KON 470nF X5R 6.3V SMD 20%","C23","CAPC0603X33N","Bottom","24921","1","0","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","28.09","33.13"
"28.132","27.002","4.7µF","KON 4.7µF 6.3V X5R SMD 20%","C24","CAPC1005X60N","Bottom","24719","1","270","","01","","4.7u","24719","1005 (0402)","SMT","Yes","X5R","20%","","6.3","28.132","27.002"
"30.23","52.18","470nF","KON 470nF X5R 6.3V SMD 20%","C26","CAPC0603X33N","Bottom","24921","1","0","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","30.23","52.18"
"24.9","30.79","470nF","KON 470nF X5R 6.3V SMD 20%","C27","CAPC0603X33N","Bottom","24921","1","270","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","24.9","30.79"
"27.84","30.39","1nF","KON 1nF 50V SMD AEC-Q200","C28","CAPC1005X55N","Bottom","26184","1","90","","01","","1n","26184","1005 (0402)","SMT","","X7R","10%","","50V","27.84","30.39"
"42.66","39.76","470nF","KON 470nF X5R 6.3V SMD 20%","C31","CAPC0603X33N","Top","24921","1","270","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","42.66","39.76"
"13.23","22.07","470nF","KON 470nF X5R 6.3V SMD 20%","C32","CAPC0603X33N","Top","24921","1","180","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","13.23","22.07"
"11.71","25.96","470nF","KON 470nF X5R 6.3V SMD 20%","C33","CAPC0603X33N","Top","24921","1","90","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","11.71","25.96"
"8.66","28.2","10µF","KON 10µF 16V X5R SMD 20%","C34","CAPC1608X90N","Top","25341","1","0","","01","","10u","25341","1608 (0603)","SMT","Yes","X5R","20%","","16V","8.66","28.2"
"25.397","21.136","470nF","KON 470nF X5R 6.3V SMD 20%","C35","CAPC0603X33N","Top","24921","1","0","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","25.397","21.136"
"24.651","20.197","470nF","KON 470nF X5R 6.3V SMD 20%","C36","CAPC0603X33N","Top","24921","1","0","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","24.651","20.197"
"28.636","18.702","470nF","KON 470nF X5R 6.3V SMD 20%","C37","CAPC0603X33N","Top","24921","1","180","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","28.636","18.702"
"27.951","19.408","470nF","KON 470nF X5R 6.3V SMD 20%","C38","CAPC0603X33N","Top","24921","1","180","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","27.951","19.408"
"22.796","20.186","470nF","KON 470nF X5R 6.3V SMD 20%","C39","CAPC0603X33N","Top","24921","1","180","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","22.796","20.186"
"19.519","17.174","470nF","KON 470nF X5R 6.3V SMD 20%","C40","CAPC0603X33N","Top","24921","1","90","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","19.519","17.174"
"43.46","19.41","4.7µF","KON 4.7µF 6.3V X5R SMD 20%","C41","CAPC1005X60N","Top","24719","1","180","","01","","4.7u","24719","1005 (0402)","SMT","Yes","X5R","20%","","6.3","43.46","19.41"
"36.32","15.36","100µF","KON 100µF 6,3V X5R SMD 20%","C42","CAPC3216X180N","Top","23116","1","270","","01","","100u","23116","3216 (1206)","SMT","Yes","X5R","20%","","6.3V","36.32","15.36"
"11.26","50.78","4.7µF","KON 4.7µF 6.3V X5R SMD 20%","C43","CAPC1005X60N","Top","24719","1","270","","01","","4.7u","24719","1005 (0402)","SMT","Yes","X5R","20%","","6.3","11.26","50.78"
"38.22","34.17","100µF","KON 100µF 6,3V X5R SMD 20%","C44","CAPC3216X180N","Bottom","23116","1","90","","01","","100u","23116","3216 (1206)","SMT","Yes","X5R","20%","","6.3V","38.22","34.17"
"43.58","26.54","4.7µF","KON 4.7µF 6.3V X5R SMD 20%","C45","CAPC1005X60N","Top","24719","1","180","","01","","4.7u","24719","1005 (0402)","SMT","Yes","X5R","20%","","6.3","43.58","26.54"
"36.44","22.52","100µF","KON 100µF 6,3V X5R SMD 20%","C46","CAPC3216X180N","Top","23116","1","270","","01","","100u","23116","3216 (1206)","SMT","Yes","X5R","20%","","6.3V","36.44","22.52"
"36.67","27.97","4.7µF","KON 4.7µF 6.3V X5R SMD 20%","C47","CAPC1005X60N","Bottom","24719","1","90","","01","","4.7u","24719","1005 (0402)","SMT","Yes","X5R","20%","","6.3","36.67","27.97"
"11.76","45.76","100µF","KON 100µF 6,3V X5R SMD 20%","C48","CAPC3216X180N","Top","23116","1","180","","01","","100u","23116","3216 (1206)","SMT","Yes","X5R","20%","","6.3V","11.76","45.76"
"41.78","57.59","100nF","KON 100nF 50V SMD AEC-Q200","C49","CAPC1005X55N","Top","26183","1","90","","01","","100n","26183","1005 (0402)","SMT","","X7R","10%","","50V","41.78","57.59"
"36.04","61.01","100µF","KON 100µF 6,3V X5R SMD 20%","C50","CAPC3216X180N","Top","23116","1","180","","01","","100u","23116","3216 (1206)","SMT","Yes","X5R","20%","","6.3V","36.04","61.01"
"20.629","17.944","470nF","KON 470nF X5R 6.3V SMD 20%","C51","CAPC0603X33N","Top","24921","1","270","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","20.629","17.944"
"34.72","62.68","4.7µF","KON 4.7µF 6.3V X5R SMD 20%","C52","CAPC1005X60N","Top","24719","1","0","","01","","4.7u","24719","1005 (0402)","SMT","Yes","X5R","20%","","6.3","34.72","62.68"
"6.97","48.62","100nF","KON 100nF 50V SMD AEC-Q200","C53","CAPC1005X55N","Top","26183","1","0","","01","","100n","26183","1005 (0402)","SMT","","X7R","10%","","50V","6.97","48.62"
"40.47","34.17","100µF","KON 100µF 6,3V X5R SMD 20%","C54","CAPC3216X180N","Bottom","23116","1","90","","01","","100u","23116","3216 (1206)","SMT","Yes","X5R","20%","","6.3V","40.47","34.17"
"19.429","18.925","470nF","KON 470nF X5R 6.3V SMD 20%","C55","CAPC0603X33N","Top","24921","1","270","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","19.429","18.925"
"22.089","21.724","470nF","KON 470nF X5R 6.3V SMD 20%","C56","CAPC0603X33N","Top","24921","1","0","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","22.089","21.724"
"21.268","14.907","470nF","KON 470nF X5R 6.3V SMD 20%","C57","CAPC0603X33N","Top","24921","1","180","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","21.268","14.907"
"25.865","15.226","470nF","KON 470nF X5R 6.3V SMD 20%","C58","CAPC0603X33N","Top","24921","1","180","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","25.865","15.226"
"24.331","15.223","470nF","KON 470nF X5R 6.3V SMD 20%","C59","CAPC0603X33N","Top","24921","1","0","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","24.331","15.223"
"27.299","18.653","470nF","KON 470nF X5R 6.3V SMD 20%","C60","CAPC0603X33N","Top","24921","1","0","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","27.299","18.653"
"23.36","21.585","470nF","KON 470nF X5R 6.3V SMD 20%","C61","CAPC0603X33N","Top","24921","1","180","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","23.36","21.585"
"26.38","28.44","470nF","KON 470nF X5R 6.3V SMD 20%","C62","CAPC0603X33N","Bottom","24921","1","180","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","26.38","28.44"
"27.126","27.002","4.7µF","KON 4.7µF 6.3V X5R SMD 20%","C63","CAPC1005X60N","Bottom","24719","1","90","","01","","4.7u","24719","1005 (0402)","SMT","Yes","X5R","20%","","6.3","27.126","27.002"
"20.581","16.701","470nF","KON 470nF X5R 6.3V SMD 20%","C64","CAPC0603X33N","Top","24921","1","270","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","20.581","16.701"
"24.802","14.044","470nF","KON 470nF X5R 6.3V SMD 20%","C65","CAPC0603X33N","Top","24921","1","180","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","24.802","14.044"
"26.426","25.808","470nF","KON 470nF X5R 6.3V SMD 20%","C66","CAPC0603X33N","Bottom","24921","1","0","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","26.426","25.808"
"26.52","24.422","470nF","KON 470nF X5R 6.3V SMD 20%","C67","CAPC0603X33N","Bottom","24921","1","270","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","26.52","24.422"
"25.196","27.362","470nF","KON 470nF X5R 6.3V SMD 20%","C68","CAPC0603X33N","Bottom","24921","1","90","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","25.196","27.362"
"31.01","32.735","470nF","KON 470nF X5R 6.3V SMD 20%","C69","CAPC0603X33N","Bottom","24921","1","90","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","31.01","32.735"
"29.146","24.803","4.7µF","KON 4.7µF 6.3V X5R SMD 20%","C70","CAPC1005X60N","Bottom","24719","1","0","","01","","4.7u","24719","1005 (0402)","SMT","Yes","X5R","20%","","6.3","29.146","24.803"
"29.563","25.661","470nF","KON 470nF X5R 6.3V SMD 20%","C71","CAPC0603X33N","Bottom","24921","1","180","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","29.563","25.661"
"33.28","28.476","4.7µF","KON 4.7µF 6.3V X5R SMD 20%","C72","CAPC1005X60N","Bottom","24719","1","180","","01","","4.7u","24719","1005 (0402)","SMT","Yes","X5R","20%","","6.3","33.28","28.476"
"31.55","27.13","470nF","KON 470nF X5R 6.3V SMD 20%","C73","CAPC0603X33N","Bottom","24921","1","270","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","31.55","27.13"
"32.992","27.622","470nF","KON 470nF X5R 6.3V SMD 20%","C74","CAPC0603X33N","Bottom","24921","1","180","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","32.992","27.622"
"11.16","43.84","470nF","KON 470nF X5R 6.3V SMD 20%","C75","CAPC0603X33N","Top","24921","1","180","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","11.16","43.84"
"38.68","22.52","100µF","KON 100µF 6,3V X5R SMD 20%","C77","CAPC3216X180N","Top","23116","1","270","","01","","100u","23116","3216 (1206)","SMT","Yes","X5R","20%","","6.3V","38.68","22.52"
"35.42","32.09","100µF","KON 100µF 6,3V X5R SMD 20%","C78","CAPC3216X180N","Bottom","23116","1","90","","01","","100u","23116","3216 (1206)","SMT","Yes","X5R","20%","","6.3V","35.42","32.09"
"20.78","28.93","4.7µF","KON 4.7µF 6.3V X5R SMD 20%","C79","CAPC1005X60N","Bottom","24719","1","180","","01","","4.7u","24719","1005 (0402)","SMT","Yes","X5R","20%","","6.3","20.78","28.93"
"23.83","30.38","470nF","KON 470nF X5R 6.3V SMD 20%","C80","CAPC0603X33N","Bottom","24921","1","0","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","23.83","30.38"
"22.04","34.3","4.7µF","KON 4.7µF 6.3V X5R SMD 20%","C81","CAPC1005X60N","Bottom","24719","1","180","","01","","4.7u","24719","1005 (0402)","SMT","Yes","X5R","20%","","6.3","22.04","34.3"
"24.64","36.46","470nF","KON 470nF X5R 6.3V SMD 20%","C82","CAPC0603X33N","Bottom","24921","1","0","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","24.64","36.46"
"38.58","15.36","100µF","KON 100µF 6,3V X5R SMD 20%","C83","CAPC3216X180N","Top","23116","1","270","","01","","100u","23116","3216 (1206)","SMT","Yes","X5R","20%","","6.3V","38.58","15.36"
"26.56","42.38","100µF","KON 100µF 6,3V X5R SMD 20%","C84","CAPC3216X180N","Top","23116","1","90","","01","","100u","23116","3216 (1206)","SMT","Yes","X5R","20%","","6.3V","26.56","42.38"
"13.45","38.63","100µF","KON 100µF 6,3V X5R SMD 20%","C85","CAPC3216X180N","Bottom","23116","1","270","","01","","100u","23116","3216 (1206)","SMT","Yes","X5R","20%","","6.3V","13.45","38.63"
"32.76","36.3","47µF","KON 47µF 6,3V  X5R SMD 20%","C86","CAPC2012X135N","Bottom","24718","1","270","","01","","47u","24718","2012 (0805)","SMT","Yes","X5R","20%","","6.3V","32.76","36.3"
"28.67","36.46","4.7µF","KON 4.7µF 6.3V X5R SMD 20%","C87","CAPC1005X60N","Bottom","24719","1","0","","01","","4.7u","24719","1005 (0402)","SMT","Yes","X5R","20%","","6.3","28.67","36.46"
"31.24","35.93","470nF","KON 470nF X5R 6.3V SMD 20%","C88","CAPC0603X33N","Bottom","24921","1","270","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","31.24","35.93"
"32.79","30.84","4.7µF","KON 4.7µF 6.3V X5R SMD 20%","C89","CAPC1005X60N","Bottom","24719","1","90","","01","","4.7u","24719","1005 (0402)","SMT","Yes","X5R","20%","","6.3","32.79","30.84"
"32.66","33.06","470nF","KON 470nF X5R 6.3V SMD 20%","C90","CAPC0603X33N","Bottom","24921","1","270","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","32.66","33.06"
"34.21","35.92","470nF","KON 470nF X5R 6.3V SMD 20%","C91","CAPC0603X33N","Bottom","24921","1","270","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","34.21","35.92"
"30.68","31.12","470nF","KON 470nF X5R 6.3V SMD 20%","C92","CAPC0603X33N","Bottom","24921","1","180","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","30.68","31.12"
"18.94","64.92","47µF","KON 47µF 6,3V  X5R SMD 20%","C93","CAPC2012X135N","Bottom","24718","1","0","","01","","47u","24718","2012 (0805)","SMT","Yes","X5R","20%","","6.3V","18.94","64.92"
"23.59","19.03","470nF","KON 470nF X5R 6.3V SMD 20%","C94","CAPC0603X33N","Top","24921","1","270","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","23.59","19.03"
"24.1","16.16","470nF","KON 470nF X5R 6.3V SMD 20%","C95","CAPC0603X33N","Top","24921","1","180","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","24.1","16.16"
"17.83","15.65","47µF","KON 47µF 6,3V  X5R SMD 20%","C96","CAPC2012X135N","Top","24718","1","270","","01","","47u","24718","2012 (0805)","SMT","Yes","X5R","20%","","6.3V","17.83","15.65"
"17.83","19.19","47µF","KON 47µF 6,3V  X5R SMD 20%","C97","CAPC2012X135N","Top","24718","1","90","","01","","47u","24718","2012 (0805)","SMT","Yes","X5R","20%","","6.3V","17.83","19.19"
"30.02","50.17","470nF","KON 470nF X5R 6.3V SMD 20%","C98","CAPC0603X33N","Bottom","24921","1","180","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","30.02","50.17"
"36.68","42.18","470nF","KON 470nF X5R 6.3V SMD 20%","C101","CAPC0603X33N","Top","24921","1","0","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","36.68","42.18"
